,label,neuron_12,neuron_11,neuron_10,neuron_9,neuron_8,neuron_7,neuron_6,neuron_5,neuron_4,neuron_3,neuron_2,neuron_1
194,4,4,38,52,44,11,6,35,12,10,37,8,24
195,9,52,0,23,4,7,51,36,53,3,58,55,34
196,7,7,53,12,32,3,54,51,2,18,11,45,24
197,8,40,34,58,48,55,33,5,47,50,19,0,23
198,3,51,2,55,41,21,38,47,1,59,25,43,17
199,2,13,23,48,21,26,8,55,29,14,20,6,49
200,1,26,5,52,46,16,11,30,47,17,0,32,40
201,1,47,35,7,50,43,37,6,2,41,34,39,48
202,8,31,42,23,39,7,58,5,0,16,33,55,41
203,3,18,38,14,31,47,6,44,4,55,29,3,23
204,6,52,21,58,46,57,8,33,5,55,11,35,15
205,1,16,28,49,2,43,20,37,33,27,7,39,48
206,0,25,48,9,2,38,12,51,3,50,44,29,22
207,3,55,23,31,6,47,56,29,14,38,9,3,33
208,1,0,7,56,29,51,27,50,36,47,11,17,28
209,0,50,51,48,25,43,10,12,9,16,56,38,22
210,0,9,10,35,21,25,50,42,58,13,44,22,2
211,1,0,56,33,7,27,51,36,50,17,11,47,28
212,7,50,52,57,3,16,51,17,0,29,59,40,30
213,2,56,29,10,5,12,8,38,47,41,49,35,20
214,7,51,59,53,30,21,11,44,55,18,45,24,14
215,3,25,55,43,10,41,35,51,4,3,18,31,47
216,0,22,50,45,8,44,53,25,13,42,21,52,2
217,4,24,44,41,10,4,7,45,37,35,8,42,30
218,6,21,25,57,56,58,10,31,35,15,11,42,13
219,5,53,3,1,6,7,41,59,51,31,18,58,46
220,2,25,0,47,37,8,56,55,43,54,50,5,19
221,6,49,29,21,10,58,54,35,57,59,31,12,15
222,4,35,20,12,32,57,43,2,25,19,37,38,26
223,7,57,55,12,23,52,6,3,51,32,45,34,36
224,1,58,12,48,54,41,56,50,51,0,7,3,29
225,8,33,56,31,3,35,12,5,4,58,47,19,0
226,9,29,18,1,17,27,38,0,39,6,3,30,24
227,9,11,10,0,3,42,55,50,30,21,8,58,36
228,3,8,9,21,39,42,32,4,17,16,26,19,2
229,0,2,18,54,38,57,4,29,10,21,56,50,22
230,7,51,38,55,0,3,36,29,54,6,8,14,34
231,1,57,16,48,50,33,2,34,40,47,17,11,28
232,0,10,25,45,8,13,55,52,53,11,35,18,42
233,2,58,33,43,49,31,19,29,5,8,47,20,35
234,0,12,53,45,29,13,10,54,19,18,58,25,35
235,3,53,55,10,41,4,3,51,43,31,47,35,18
236,5,1,45,58,51,3,41,55,23,4,16,6,0
237,4,10,41,36,43,38,29,45,7,37,35,8,30
238,6,9,27,11,29,10,26,52,42,58,54,15,35
239,5,55,9,58,7,25,31,5,51,18,59,1,6
240,8,58,55,52,29,21,5,39,48,11,47,30,0
241,6,26,59,46,20,31,53,35,10,9,54,32,15
242,3,12,21,48,18,51,3,43,4,10,25,47,31
243,7,14,21,39,54,53,3,23,51,8,29,6,36
244,5,23,27,13,10,11,42,52,4,44,46,25,12
245,8,4,35,5,55,50,58,52,12,19,47,23,0
246,0,51,44,48,46,35,19,38,18,22,16,2,50
247,9,55,21,50,11,8,30,42,0,58,10,3,36
248,1,16,46,4,11,56,5,47,17,24,32,0,40
249,0,10,40,18,59,16,51,48,9,38,50,56,22
250,3,49,26,7,11,59,41,37,32,55,25,15,14
251,1,43,33,7,0,17,51,50,27,36,11,47,28
252,2,41,23,38,55,1,13,48,47,49,43,56,17
253,2,5,10,38,59,43,37,47,35,9,19,31,20
254,3,46,51,37,44,35,2,13,52,53,43,25,27
255,3,10,18,33,43,0,51,41,4,3,35,31,47
256,6,0,27,39,48,16,33,49,43,47,37,52,7
257,4,45,37,4,7,5,42,8,35,32,19,30,36
258,7,6,51,14,8,50,54,10,3,0,27,38,36
259,5,36,20,7,46,18,53,58,1,51,6,33,59
260,0,40,37,36,9,20,32,14,7,48,59,22,16
261,6,52,54,12,45,42,9,53,5,57,59,58,15
262,2,9,46,7,13,45,53,59,27,37,5,20,56
263,7,39,34,12,54,3,6,29,23,51,32,14,36
264,9,29,20,43,41,11,24,10,2,38,34,17,26
265,8,30,44,19,8,4,47,48,12,58,55,0,23
266,5,48,27,2,41,9,16,46,37,51,1,19,55
267,9,11,1,42,27,58,21,39,3,0,30,10,36
268,2,11,15,32,33,49,27,54,51,29,17,14,38
269,1,56,13,7,16,33,48,47,2,39,17,34,28
270,1,51,57,9,47,17,36,34,13,11,2,40,28
271,4,52,27,26,4,8,7,37,5,42,30,35,36
272,4,6,53,10,37,38,32,12,36,18,19,3,30
273,5,58,55,25,7,33,51,31,5,1,59,18,6
274,6,5,25,37,16,47,9,43,1,55,52,44,7
275,4,32,10,45,37,19,7,4,42,36,8,35,30
276,1,13,34,7,26,37,11,50,51,17,36,40,28
277,2,12,43,10,5,38,45,3,37,20,47,35,8
278,5,29,27,58,52,54,15,5,53,31,59,47,18
279,3,18,19,41,38,55,3,51,10,47,44,4,23
280,9,27,41,58,3,6,5,21,30,7,18,42,36
281,3,51,18,55,19,47,43,25,41,35,3,31,4
282,9,6,57,25,32,16,38,29,20,3,24,2,26
283,0,13,50,25,35,9,54,16,59,56,12,10,22
284,5,46,4,43,55,13,19,25,44,51,50,53,2
285,9,8,30,55,50,42,11,58,0,27,3,10,36
286,6,35,46,17,26,19,11,58,41,27,52,15,12
287,5,7,5,36,28,47,51,6,53,33,1,59,20
288,7,3,21,53,54,47,55,8,38,6,36,14,30
289,4,45,43,7,37,8,4,41,42,5,35,36,30
290,1,34,39,16,36,48,13,7,17,47,2,11,28
291,3,53,4,55,35,51,1,18,43,27,47,3,33
292,4,24,11,4,52,57,21,55,58,27,17,30,5
293,0,45,16,10,46,25,35,19,9,31,13,22,12
294,4,34,9,25,50,49,14,44,32,35,7,38,26
295,8,4,50,33,52,35,47,58,55,5,48,0,19
296,0,25,45,29,18,38,54,22,9,13,31,59,10
297,4,33,5,37,7,8,30,4,45,32,35,19,36
298,3,51,57,27,46,55,4,44,3,25,12,17,2
299,6,12,49,13,54,33,42,10,57,21,31,35,15
300,8,55,52,44,58,51,11,5,27,7,16,0,39
301,7,52,55,23,0,14,3,54,8,6,51,34,36
302,6,27,41,58,12,9,59,17,7,52,33,5,15
303,0,19,42,45,25,4,5,9,13,12,58,31,22
304,9,27,54,44,59,51,0,18,53,1,17,24,30
305,7,58,52,32,39,0,36,29,8,54,6,51,34
306,5,3,48,14,22,12,6,56,59,51,53,25,50
307,7,23,3,55,8,54,14,29,6,51,41,34,36
308,2,26,46,9,2,5,35,43,10,19,8,20,47
309,1,25,13,7,27,33,16,37,2,34,48,39,28
310,1,47,16,59,11,51,36,26,50,30,17,40,28
311,6,8,53,9,31,35,27,42,54,57,59,15,58
312,8,43,35,51,21,55,12,10,23,19,46,39,11
313,9,29,0,3,10,11,27,39,58,21,42,50,36
314,4,18,6,52,8,32,4,10,19,44,9,24,37
315,1,47,50,56,49,2,7,37,39,34,27,28,48
316,5,57,51,17,35,25,43,11,50,19,53,13,2
317,2,45,10,56,29,43,5,47,31,35,20,8,19
318,2,33,55,29,23,38,27,41,48,2,20,16,49
319,9,41,19,58,39,0,42,8,5,7,3,36,34
320,0,31,42,54,25,22,8,18,58,21,12,13,52
321,3,31,10,43,53,4,33,51,3,47,41,18,35
322,9,11,25,54,21,2,18,48,10,38,29,8,24
323,6,21,59,20,57,27,53,29,10,9,54,35,15
324,7,7,6,26,21,8,54,41,29,38,36,30,14
325,2,42,43,10,5,56,20,35,12,29,8,19,47
326,0,44,42,45,54,4,18,9,25,31,22,13,58
327,3,51,1,5,55,31,41,43,53,33,47,3,35
328,5,27,19,9,4,8,7,23,41,18,12,58,46
329,4,29,58,37,41,19,4,32,7,8,30,36,35
330,3,3,5,54,31,47,53,45,51,18,25,4,17
331,6,42,21,17,45,33,9,52,57,5,53,58,15
332,5,55,44,51,3,27,2,25,52,10,1,19,46
333,8,35,48,25,10,18,52,1,12,2,55,44,19
334,9,8,43,12,38,53,52,11,30,21,54,10,24
335,5,36,51,20,58,32,5,18,53,6,33,1,59
336,4,1,8,52,10,37,4,0,27,35,36,42,30
337,7,8,38,45,57,23,54,51,29,3,36,6,34
338,4,8,45,54,11,41,4,29,36,10,32,35,30
339,2,56,38,2,10,43,5,29,19,35,8,47,20
340,7,24,4,7,27,54,5,53,58,44,30,17,18
341,3,25,5,51,10,43,35,4,18,3,47,19,31
342,4,50,4,10,7,27,52,5,53,59,37,36,30
343,8,7,4,35,50,58,48,5,55,33,47,0,19
344,9,30,21,41,38,18,11,0,29,10,8,19,24
345,1,51,56,49,50,7,2,37,34,28,39,27,48
346,9,10,39,44,21,51,4,3,41,18,55,23,58
347,2,43,3,9,29,37,5,8,47,45,19,35,20
348,8,16,56,41,27,11,31,1,12,52,55,39,58
349,7,18,3,9,51,57,45,6,38,23,34,14,36
350,9,11,27,8,54,52,58,10,29,21,0,30,24
351,1,43,56,47,50,49,2,27,37,34,7,39,48
352,8,27,55,19,37,59,2,50,41,12,35,52,25
353,7,29,55,21,53,51,3,10,54,23,8,36,34
354,4,55,39,27,19,3,42,32,24,35,10,30,0
355,1,56,43,50,49,33,2,37,28,7,27,39,48
356,3,39,47,38,11,4,48,21,1,51,18,43,44
357,1,56,33,50,49,37,47,7,34,28,27,48,39
358,1,17,11,51,16,19,47,36,35,30,0,32,40
359,0,5,12,13,9,31,56,16,42,25,4,58,22
360,2,55,50,39,43,25,13,16,21,41,5,56,17
361,3,18,38,29,55,0,10,44,3,4,47,19,23
362,9,52,24,4,11,55,45,39,8,58,42,21,30
363,4,41,1,50,43,27,5,37,7,42,34,36,35
364,9,52,11,21,27,58,0,10,50,54,36,42,30
365,2,24,55,0,12,35,43,20,10,56,54,8,47
366,1,5,16,51,47,11,50,17,57,34,36,28,40
367,6,45,31,21,27,53,35,9,59,57,54,58,15
368,8,18,55,16,36,40,21,5,33,52,47,57,0
369,4,3,7,42,37,58,4,32,8,36,35,41,30
370,7,48,0,16,27,26,51,47,17,30,11,50,36
371,7,29,12,3,54,57,51,9,45,18,6,36,23
372,4,4,11,21,43,3,10,36,27,6,38,37,30
373,4,32,43,34,4,29,50,37,7,8,41,35,36
374,9,6,32,57,58,27,30,11,41,17,52,12,24
375,2,35,12,38,10,5,56,29,58,47,8,19,20
376,5,46,10,8,1,9,58,21,59,52,16,55,11
377,7,8,9,54,29,45,36,12,3,51,23,6,34
378,2,17,27,1,54,42,10,38,47,21,37,5,56
379,4,50,1,8,37,43,41,7,42,5,34,35,36
380,4,12,53,48,32,20,19,24,38,26,37,43,54
381,2,12,41,49,19,31,5,56,58,20,29,8,47
382,1,26,58,16,36,0,5,17,57,50,47,11,40
383,9,18,10,11,7,3,23,58,29,34,8,21,36
384,7,36,48,24,29,35,44,11,27,7,37,30,14
385,2,44,12,58,8,31,10,5,56,29,19,47,20
386,8,48,37,12,13,50,43,35,25,51,19,2,11
387,7,21,29,51,54,53,38,6,36,3,8,14,34
388,6,58,34,8,20,28,47,9,33,5,40,15,11
389,9,55,58,21,39,41,0,42,3,5,7,8,36
390,2,25,39,41,1,55,21,52,51,35,13,48,27
391,2,47,59,12,53,6,2,5,37,43,3,7,20
392,3,37,47,41,4,17,43,38,42,44,2,21,25
393,8,8,13,47,7,58,33,48,50,19,55,0,23
394,1,19,47,35,5,55,9,0,11,32,50,13,40
395,6,54,12,57,17,45,5,53,9,42,59,15,58
396,5,41,3,46,28,4,58,9,8,44,5,25,18
397,1,34,43,50,20,2,33,7,37,27,28,39,48
398,1,26,51,11,36,47,5,50,17,57,30,28,40
399,0,46,19,45,7,16,5,13,9,22,58,12,31
400,2,15,57,53,56,43,11,45,38,21,17,41,5
401,6,7,19,33,45,8,58,52,17,9,53,5,15
402,4,44,58,37,4,7,32,36,19,35,8,18,30
403,5,6,1,7,5,58,18,53,20,51,33,59,46
404,8,35,18,21,1,37,55,53,12,27,44,25,2
405,3,51,43,41,4,44,35,25,18,47,3,19,31
406,1,19,47,57,16,11,17,9,32,5,24,0,40
407,5,53,31,7,58,1,33,5,6,18,51,46,59
408,1,16,30,47,13,7,11,50,26,36,17,40,28
409,9,55,4,58,39,5,21,3,42,7,8,36,34
410,2,16,21,56,13,55,5,48,28,37,17,31,49
411,7,36,50,0,32,39,8,14,6,54,29,51,34
412,4,58,55,27,32,35,26,30,3,10,42,36,50
413,4,42,7,32,45,4,30,8,19,41,5,35,36
414,4,58,17,0,26,12,7,20,27,1,24,53,5
415,8,39,47,48,9,51,5,50,7,55,46,33,23
416,1,17,50,33,7,11,39,34,48,37,47,27,28
417,5,0,7,43,37,51,9,1,47,20,33,57,59
418,8,38,0,33,28,59,20,37,50,35,2,57,42
419,9,21,8,55,19,39,53,7,23,58,3,34,36
420,5,5,27,39,51,3,55,53,18,23,46,58,36
421,6,59,12,42,5,19,54,9,33,17,52,58,15
422,7,11,1,0,3,54,38,47,26,6,14,50,36
423,9,39,21,55,50,42,41,7,8,58,3,36,34
424,9,12,51,41,56,20,24,1,57,11,17,3,26
425,3,51,10,59,33,29,31,19,47,3,46,58,18
426,7,59,18,3,35,37,32,11,57,7,12,30,51
427,0,54,53,7,49,59,13,45,9,22,58,31,12
428,9,27,30,11,18,57,39,29,0,10,17,38,24
429,0,50,59,35,54,25,29,16,9,56,10,12,22
430,6,35,8,41,42,55,9,58,15,19,52,5,25
431,6,12,59,26,31,35,57,54,8,42,52,58,15
432,2,54,9,19,41,49,55,4,38,45,8,5,37
433,3,33,51,37,1,53,31,3,18,5,43,35,4
434,9,2,27,20,11,48,57,26,54,8,38,43,24
435,0,25,54,31,58,12,9,10,59,56,29,16,22
436,7,53,5,32,11,58,57,44,36,54,45,18,30
437,5,18,9,53,26,37,51,5,20,33,1,6,59
438,4,35,27,8,44,42,6,37,10,52,4,12,24
439,8,29,56,55,23,4,12,5,7,46,33,47,0
440,0,53,19,46,13,25,56,22,9,16,59,12,50
441,9,27,11,30,53,10,51,0,3,55,21,58,36
442,4,11,8,37,1,27,52,54,42,32,10,35,30
443,1,56,50,33,20,2,42,7,37,28,27,39,48
444,2,59,24,6,16,51,50,0,26,17,47,40,32
445,8,52,30,5,44,12,55,48,58,47,19,23,0
446,7,9,53,21,54,45,8,22,24,44,18,6,13
447,1,56,43,49,20,2,33,7,37,27,28,39,48
448,2,50,44,30,58,5,55,10,29,37,20,47,35
449,6,21,19,5,59,12,52,42,17,33,54,15,58
450,1,0,33,16,13,36,56,50,47,17,11,40,28
451,0,42,59,57,13,45,54,53,21,18,31,58,12
452,3,6,3,31,10,49,21,56,43,25,59,53,51
453,0,33,3,19,4,54,53,7,22,58,46,16,31
454,1,0,51,16,59,26,57,17,36,50,30,28,40
455,1,51,50,49,33,7,37,2,39,27,28,48,34
456,8,23,36,35,19,5,50,55,0,58,52,39,13
457,2,42,43,9,35,5,47,20,8,55,29,19,33
458,0,50,19,44,25,16,54,2,9,13,10,12,22
459,3,18,41,3,12,29,52,0,11,38,21,10,44
460,9,41,8,57,25,2,6,7,29,52,54,58,24
461,4,33,35,4,45,54,29,8,37,10,19,32,36
462,0,6,48,7,16,25,51,31,9,14,59,12,22
463,5,50,33,9,7,37,0,59,16,3,20,5,57
464,0,12,25,48,54,9,50,21,43,38,22,59,56
465,6,12,20,19,42,9,56,7,59,58,5,31,15
466,1,7,16,51,36,42,27,2,11,37,34,48,28
467,7,49,57,23,54,38,3,6,9,45,14,34,33
468,7,16,26,37,50,51,22,29,13,32,7,14,2
469,8,56,33,6,7,58,42,50,39,29,0,8,23
470,1,30,45,17,19,0,55,5,13,11,58,50,40
471,9,52,33,39,51,0,5,49,55,7,3,58,34
472,2,46,43,16,38,48,51,17,57,34,13,56,40
473,0,9,58,16,7,19,54,29,46,22,33,3,31
474,5,9,8,41,6,18,59,58,3,10,25,46,1
475,1,13,42,50,2,6,25,37,20,33,27,39,48
476,2,58,29,36,21,27,6,10,59,8,20,2,49
477,2,31,38,29,35,5,20,49,43,10,9,47,33
478,7,32,38,11,12,55,50,47,30,14,27,17,36
479,3,53,52,21,11,25,44,3,18,10,4,43,23
480,5,46,44,4,8,11,16,1,0,9,10,52,12
481,4,8,36,19,37,46,45,33,58,57,32,34,54
482,9,7,39,58,11,8,55,21,42,5,27,36,30
483,7,45,47,3,23,51,57,54,20,6,38,9,33
484,1,47,5,36,59,51,26,17,50,57,30,28,40
485,8,13,56,58,0,33,29,23,19,50,42,7,46
486,3,43,21,11,50,44,9,2,47,3,27,17,25
487,9,5,56,42,34,20,7,2,6,50,8,33,39
488,6,21,13,16,10,50,32,11,12,6,26,56,37
489,0,51,53,9,31,58,46,16,33,22,20,29,59
490,3,47,21,31,55,3,53,37,51,43,27,4,25
491,1,50,25,13,39,55,42,44,48,33,35,20,41
492,1,50,16,27,2,13,37,7,11,39,47,34,48
493,2,23,43,46,55,33,50,29,2,9,47,10,20
